OVRL_HEALTH,SELFDESC_WEIGHT,MIN_MOD_PA,MIN_VIG_PA,DAY_STR_EXR,SUB_ANY_TOBACCO,SUB_ANY_ALCOHOL,SUB_ANY_CANNABIS,SUB_3MO_TOBACCO,SUB_3MO_ALCOHOL,SUB_3MO_CANNABIS,AGE,SUGAR_7D
Very Good,Slightly overweight,20,1,1,No,No,No,,,,20,7
Fair,Slightly overweight,60,30,1,No,No,No,,,,30,2
,Slightly overweight,90,0,0,No,Yes,Yes,,Once or twice,Weekly,20,0
Good,Slightly overweight,840,0,0,No,No,No,,,,46,10
Very Good,Very overweight,540,0,0,Yes,Yes,Yes,Once or twice,Weekly,Once or twice,27,0
Excellent,About the right weight,120,0,0,No,No,No,,,,20,1
Very Good,Slightly underweight,300,120,5,No,Yes,Yes,,Weekly,Daily or almost daily,21,10
Very Good,Slightly overweight,180,0,0,No,Yes,No,,Daily or almost daily,,40,1
Very Good,Slightly overweight,450,50,0,Yes,Yes,No,Daily or almost daily,Once or twice,,38,1
Very Good,About the right weight,500,120,3,No,No,No,,,,20,0
Very Good,Slightly overweight,360,60,0,No,No,No,,,,19,4
Good,Slightly overweight,480,50,3,No,Yes,Yes,,Weekly,Weekly,25,5
Fair,About the right weight,30,0,0,No,No,No,,,,19,0
Very Good,About the right weight,180,120,2,No,Yes,Yes,,Once or twice,Weekly,19,5
Good,About the right weight,60,0,2,No,No,No,,,,19,0
Good,About the right weight,350,60,4,Yes,Yes,Yes,Never,Weekly,Never,22,0
Good,Slightly overweight,20,0,0,No,Yes,No,,Monthly,,19,2
Good,About the right weight,200,0,3,Yes,Yes,Yes,Never,Monthly,Never,21,1
Fair,About the right weight,120,5,0,Yes,Yes,Yes,Never,Weekly,Once or twice,19,2
Very Good,Slightly overweight,210,0,1,No,No,No,,,,20,1
Very Good,About the right weight,300,0,0,No,No,No,,,,19,1
Good,About the right weight,5040,2400,0,Yes,Yes,Yes,Daily or almost daily,Daily or almost daily,Weekly,29,0
Fair,About the right weight,3360,30,2,Yes,Yes,Yes,Once or twice,Never,Daily or almost daily,19,12
Very Good,About the right weight,160,0,0,No,No,No,,,,19,3
Very Good,Slightly underweight,600,0,1,No,No,No,,,,20,7
Good,About the right weight,60,240,0,Yes,Yes,Yes,Weekly,Once or twice,Weekly,20,0
Very Good,Slightly overweight,60,60,4,No,Yes,No,,Once or twice,,21,0
Excellent,About the right weight,30,60,2,No,Yes,No,,Once or twice,,19,0
Good,Slightly overweight,120,0,0,No,No,No,,,,20,2
Fair,About the right weight,60,30,1,No,No,No,,,,20,2
,About the right weight,60,90,3,No,No,No,,,,20,1
Good,About the right weight,100,100,0,No,Yes,No,,Once or twice,,30,0
Very Good,Slightly overweight,30,0,0,No,No,No,,,,25,1
Very Good,Slightly underweight,30,0,0,No,Yes,No,,Once or twice,,31,2
Excellent,Slightly underweight,200,220,3,No,Yes,Yes,,Once or twice,Never,19,0
Fair,Slightly overweight,100,10,2,No,Yes,No,,Once or twice,,23,20
Good,About the right weight,180,120,0,No,No,No,,,,19,3
Very Good,Slightly underweight,60,0,1,Yes,Yes,Yes,Never,Monthly,Monthly,19,2
Very Good,Slightly overweight,70,0,1,No,Yes,Yes,,Never,Never,19,2
Good,About the right weight,160,0,0,No,No,No,,,,20,6
Very Good,About the right weight,200,300,5,Yes,Yes,Yes,Never,Never,Never,39,1
Good,About the right weight,700,0,0,Yes,Yes,Yes,Never,Once or twice,Never,20,3
Good,About the right weight,30,0,0,Yes,Yes,Yes,Never,Once or twice,Never,22,12
Good,Very overweight,90,40,0,No,Yes,No,,Monthly,,19,1
Good,About the right weight,160,80,3,Yes,Yes,Yes,Never,Monthly,Never,27,0
Very Good,Slightly overweight,180,0,0,No,Yes,No,,Once or twice,,19,0
Good,Slightly underweight,25,0,0,No,No,No,,,,19,3
Fair,About the right weight,360,0,0,No,No,No,,,,19,0
Good,About the right weight,180,120,3,No,Yes,No,,Once or twice,,25,4
Good,Slightly overweight,80,0,0,No,Yes,No,,Once or twice,,23,2
Good,Slightly overweight,90,0,0,No,Yes,No,,Weekly,,24,7
Good,About the right weight,80,0,0,No,Yes,No,,Once or twice,,22,2
Poor,About the right weight,900,180,3,No,Yes,Yes,,Once or twice,Monthly,19,3
Good,About the right weight,120,30,1,Yes,Yes,Yes,Never,Once or twice,Daily or almost daily,22,7
Very Good,About the right weight,60,0,0,No,No,No,,,,19,0
Good,Slightly overweight,15,60,4,No,No,No,,,,20,1
Very Good,Slightly overweight,400,60,2,No,Yes,Yes,,Weekly,Never,31,0
Excellent,Slightly overweight,30,0,2,No,Yes,Yes,,Once or twice,Once or twice,20,5
Fair,Slightly underweight,30,0,0,No,No,No,,,,20,0
Good,Slightly overweight,120,15,2,No,Yes,Yes,,Monthly,Daily or almost daily,19,1
Excellent,About the right weight,120,120,2,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,21,0
Good,About the right weight,240,180,3,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,19,5
Good,Slightly overweight,300,0,7,No,Yes,No,,Monthly,,19,1
Good,About the right weight,315,315,7,No,No,No,,,,55,6
Good,Slightly overweight,60,20,2,No,No,No,,,,20,0
Good,Slightly overweight,1200,180,3,No,No,No,,,,19,0
Good,About the right weight,180,60,2,No,No,No,,,,19,0
Good,,,,,Yes,Yes,Yes,Daily or almost daily,Monthly,Daily or almost daily,19,
Good,Very overweight,60,0,2,No,Yes,Yes,,Once or twice,Never,22,2
Good,About the right weight,480,0,0,No,No,No,,,,45,0
Good,About the right weight,90,20,0,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,22,1
Excellent,About the right weight,240,120,4,No,No,No,,,,20,24
Fair,Slightly overweight,30,0,0,No,No,No,,,,20,1
Good,About the right weight,240,270,3,No,No,No,,,,20,0
Fair,Very overweight,80,0,0,No,Yes,Yes,,Monthly,Monthly,22,1
Very Good,Slightly overweight,60,0,0,Yes,Yes,Yes,Daily or almost daily,Once or twice,Never,19,6
Good,About the right weight,240,100,1,No,No,No,,,,19,2
Good,Slightly overweight,0,0,0,No,Yes,No,,Weekly,,22,24
Fair,Very overweight,170,0,1,Yes,Yes,Yes,Never,Once or twice,Never,29,10
Good,About the right weight,60,30,2,Yes,Yes,Yes,Once or twice,Never,Monthly,19,3
Good,About the right weight,30,0,0,No,Yes,No,,Once or twice,,22,1
Very Good,About the right weight,300,60,3,No,Yes,No,,Once or twice,,19,0
Excellent,Slightly overweight,30,20,3,No,No,No,,,,33,1
Very Good,About the right weight,180,0,0,No,No,No,,,,20,0
Excellent,Very underweight,60,60,1,No,No,No,,,,23,3
Very Good,Slightly overweight,250,120,3,Yes,Yes,No,Never,Once or twice,,28,0
Good,Slightly underweight,840,0,0,No,Yes,No,,Monthly,,28,7
Fair,About the right weight,120,0,1,No,No,No,,,,32,6
Good,About the right weight,15,0,1,No,Yes,No,,Daily or almost daily,,46,1
Very Good,About the right weight,60,50,3,No,No,No,,,,20,1
Good,Slightly overweight,30,0,5,No,Yes,Yes,,Once or twice,Once or twice,19,2
Good,Slightly overweight,60,60,0,No,No,No,,,,19,2
Fair,About the right weight,180,120,4,No,No,No,,,,19,2
Good,Slightly overweight,600,360,0,No,No,No,,,,19,0
Good,About the right weight,360,0,0,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,19,1
Fair,Slightly overweight,60,0,0,No,Yes,Yes,,Once or twice,Weekly,19,3
Good,About the right weight,60,15,2,No,No,No,,,,19,0
,About the right weight,30,30,2,Yes,Yes,Yes,Never,Once or twice,Once or twice,23,0
Fair,About the right weight,120,90,2,No,Yes,Yes,,Never,Weekly,20,3
Very Good,About the right weight,180,15,0,No,No,No,,,,20,0
Good,Slightly overweight,330,90,0,No,Yes,Yes,,Weekly,Daily or almost daily,28,7
Very Good,About the right weight,180,60,7,No,No,No,,,,20,0
Good,About the right weight,70,0,0,No,Yes,Yes,,Once or twice,Once or twice,20,6
Very Good,Slightly overweight,200,280,0,No,Yes,Yes,,Weekly,Daily or almost daily,20,3
Good,Slightly overweight,60,60,0,No,No,No,,,,19,29
Very Good,About the right weight,180,135,3,No,Yes,Yes,,Monthly,Daily or almost daily,21,0
Good,Slightly underweight,120,0,0,No,No,No,,,,20,7
Good,About the right weight,60,60,1,Yes,Yes,Yes,Daily or almost daily,Daily or almost daily,Never,42,0
Very Good,Very overweight,300,350,0,No,No,No,,,,34,2
Excellent,Slightly overweight,240,60,4,No,No,No,,,,19,7
Excellent,Slightly overweight,0,0,0,Yes,Yes,Yes,Never,Once or twice,Once or twice,25,0
Fair,About the right weight,0,0,0,Yes,Yes,Yes,Never,Once or twice,Never,20,4
Good,About the right weight,420,60,1,No,No,No,,,,19,1
Very Good,About the right weight,30,0,4,No,Yes,No,,Weekly,,23,4
Excellent,About the right weight,500,320,5,No,Yes,No,,Never,,23,0
Good,Very overweight,60,0,0,No,No,No,,,,19,2
Very Good,Slightly overweight,0,0,0,No,No,No,,,,,1
Very Good,About the right weight,120,30,1,No,Yes,Yes,,Once or twice,Once or twice,26,1
Good,Slightly overweight,90,0,1,Yes,Yes,Yes,Once or twice,Never,Never,19,0
Good,Slightly overweight,120,180,1,No,No,No,,,,19,0
Good,Slightly overweight,300,0,0,No,No,No,,,,20,4
Very Good,About the right weight,200,300,5,Yes,Yes,Yes,Never,Once or twice,Never,31,0
Good,Slightly overweight,0,0,0,No,No,No,,,,36,0
Excellent,About the right weight,60,120,0,No,No,No,,,,19,0
Very Good,About the right weight,90,90,3,No,No,No,,,,19,0
Very Good,Slightly overweight,30,0,0,Yes,Yes,No,Never,Once or twice,,28,1
Very Good,Slightly overweight,200,30,0,No,No,No,,,,19,0
Very Good,Very overweight,300,90,4,Yes,Yes,,Once or twice,Once or twice,,20,0
Very Good,Slightly overweight,120,90,0,Yes,Yes,Yes,Never,Monthly,Never,19,0
Very Good,About the right weight,210,210,3,No,No,No,,,,46,0
Good,About the right weight,120,60,4,Yes,Yes,Yes,Never,Once or twice,Daily or almost daily,22,0
Good,About the right weight,60,0,0,No,Yes,No,,Once or twice,,24,0
Very Good,Slightly overweight,570,30,1,Yes,Yes,Yes,Once or twice,Weekly,Monthly,25,1
Very Good,Slightly overweight,15,15,2,No,No,No,,,,19,6
Very Good,Slightly underweight,90,0,0,No,No,No,,,,19,3
Good,Slightly overweight,120,0,0,No,Yes,No,,Once or twice,,19,3
Good,About the right weight,420,0,3,No,Yes,No,,Once or twice,,34,3
Good,Slightly overweight,1200,120,0,No,Yes,No,,Never,,27,0
,About the right weight,160,0,0,No,No,No,,,,20,1
Very Good,About the right weight,150,30,0,No,No,No,,,,21,2
Good,Very overweight,240,0,0,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,26,2
Good,About the right weight,150,60,0,Yes,Yes,Yes,Never,Daily or almost daily,Once or twice,30,3
,Slightly overweight,500,280,6,No,No,No,,,,31,0
Excellent,About the right weight,120,120,2,No,Yes,No,,Monthly,,30,5
Very Good,About the right weight,30,40,5,No,No,No,,,,22,1
Fair,Very overweight,210,60,0,Yes,Yes,Yes,Never,Never,Once or twice,51,1
Very Good,About the right weight,3000,3000,5,Yes,Yes,Yes,Never,Once or twice,Never,23,3
Fair,Slightly overweight,240,60,1,Yes,Yes,Yes,Weekly,Weekly,Never,23,4
Good,Slightly overweight,200,15,0,No,No,No,,,,22,6
Fair,About the right weight,120,0,2,Yes,Yes,Yes,Never,Daily or almost daily,Weekly,40,0
Fair,About the right weight,50,15,3,No,No,No,,,,19,0
Good,Very overweight,60,0,0,No,Yes,Yes,,Weekly,Daily or almost daily,25,2
Good,Slightly overweight,45,20,3,Yes,Yes,Yes,Never,Monthly,Never,22,1
Very Good,About the right weight,300,30,0,Yes,Yes,No,Never,Once or twice,,25,0
Fair,Slightly overweight,240,60,5,Yes,Yes,No,Once or twice,Once or twice,,26,0
Very Good,About the right weight,30,90,4,No,No,No,,,,20,6
Good,Slightly overweight,90,60,2,No,Yes,Yes,,Once or twice,Daily or almost daily,19,0
Very Good,Very overweight,210,30,1,No,Yes,Yes,,Weekly,Monthly,32,2
Good,About the right weight,300,0,0,No,No,No,,,,22,7
Very Good,About the right weight,60,15,2,No,Yes,Yes,,Monthly,Never,23,0
Good,Slightly overweight,420,150,0,Yes,Yes,Yes,Never,Once or twice,Never,25,25
Very Good,About the right weight,20,0,0,Yes,Yes,Yes,Never,Never,Never,39,1
Excellent,Very overweight,30,0,2,No,No,Yes,,,Once or twice,34,0
Good,Slightly overweight,30,30,4,No,No,No,,,,50,2
Good,Slightly underweight,600,0,0,No,No,No,,,,45,0
Good,Slightly overweight,65,65,7,No,No,No,,,,19,0
Good,Very overweight,120,0,0,Yes,Yes,Yes,Never,Monthly,Once or twice,55,5
Fair,About the right weight,240,0,0,No,Yes,Yes,,Once or twice,Daily or almost daily,19,5
Good,Slightly underweight,90,0,0,No,Yes,No,,Once or twice,,21,7
Fair,Very overweight,480,0,0,No,No,No,,,,20,1
Very Good,About the right weight,900,360,3,No,Yes,No,,Once or twice,,20,0
Good,Slightly overweight,120,0,0,No,No,,,,,30,5
Excellent,About the right weight,60,0,0,No,No,No,,,,19,1
Very Good,About the right weight,35,65,4,No,No,No,,,,19,6
Good,Slightly overweight,180,200,4,No,No,No,,,,42,3
Good,Very overweight,30,30,7,No,No,No,,,,22,0
Excellent,About the right weight,500,500,2,No,No,No,,,,23,3
Very Good,Very overweight,50,0,3,No,No,Yes,,,Monthly,32,0
Fair,About the right weight,350,300,5,No,No,No,,,,19,1
Excellent,Slightly underweight,300,500,7,No,Yes,No,,Weekly,,19,0
Good,Slightly overweight,600,300,5,No,No,Yes,,,Daily or almost daily,26,7
Good,About the right weight,30,30,5,No,No,No,,,,24,0
Excellent,About the right weight,120,30,3,No,Yes,Yes,,Once or twice,Never,34,0
Good,About the right weight,90,0,3,Yes,Yes,Yes,Daily or almost daily,Never,Never,27,0
Fair,Very overweight,420,420,7,No,No,No,,,,19,1
Fair,Slightly underweight,60,60,3,No,No,No,,,,19,0
Good,Slightly overweight,180,0,0,Yes,Yes,Yes,Once or twice,Weekly,Never,38,0
Fair,Slightly overweight,120,0,0,No,Yes,No,,Monthly,,19,2
Fair,Very overweight,70,0,0,No,No,No,,,,38,14
Very Good,About the right weight,420,180,2,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,27,2
Good,Slightly overweight,180,90,0,Yes,Yes,Yes,Never,Monthly,Daily or almost daily,20,6
Very Good,Slightly overweight,240,0,1,Yes,Yes,Yes,Never,Monthly,Never,33,0
Very Good,About the right weight,120,60,2,Yes,Yes,Yes,Never,Monthly,Weekly,19,2
Very Good,Slightly underweight,240,0,4,No,Yes,Yes,,Monthly,Never,28,1
Very Good,Slightly underweight,200,100,3,No,No,Yes,,,Never,19,1
Good,Very overweight,60,60,3,No,Yes,No,,Once or twice,,39,0
Very Good,About the right weight,420,75,0,No,Yes,Yes,,Weekly,Never,24,5
Very Good,About the right weight,80,120,3,No,No,No,,,,19,0
Very Good,About the right weight,1000,0,1,No,Yes,No,,Monthly,,20,4
Very Good,About the right weight,60,0,0,No,Yes,Yes,,Daily or almost daily,Once or twice,33,1
Fair,Slightly overweight,60,0,0,Yes,Yes,Yes,Never,Never,Never,34,5
Very Good,Slightly overweight,120,75,0,No,Yes,Yes,,Weekly,Once or twice,20,2
Very Good,Very overweight,240,0,0,Yes,Yes,Yes,Once or twice,Weekly,Weekly,19,5
Excellent,About the right weight,300,50,5,No,No,No,,,,21,
Good,Slightly overweight,60,0,0,No,No,No,,,,19,0
Good,Slightly overweight,250,120,0,Yes,Yes,Yes,Never,Once or twice,Never,33,7
,About the right weight,90,30,2,No,No,No,,,,19,8
Very Good,About the right weight,180,120,2,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,20,1
Very Good,About the right weight,120,30,1,Yes,Yes,Yes,Daily or almost daily,Weekly,Monthly,22,2
Good,Very overweight,150,30,3,No,No,No,,,,20,0
Good,About the right weight,360,360,6,No,Yes,Yes,,Monthly,Weekly,19,2
Very Good,About the right weight,300,200,5,Yes,Yes,Yes,Once or twice,Weekly,Daily or almost daily,22,0
Fair,About the right weight,400,0,0,No,No,No,,,,20,4
Good,Slightly underweight,150,135,0,No,No,No,,,,20,0
Good,Slightly overweight,240,240,5,No,No,No,,,,29,0
Good,Slightly overweight,200,0,0,Yes,Yes,No,Once or twice,Once or twice,,30,0
Good,Slightly overweight,150,40,2,Yes,Yes,Yes,Monthly,Weekly,Daily or almost daily,27,2
Good,About the right weight,720,30,0,No,Yes,No,,Once or twice,,21,4
Very Good,About the right weight,260,500,5,No,Yes,No,,Weekly,,19,3
Good,Slightly overweight,45,10,2,No,Yes,No,,Once or twice,,27,1
Good,About the right weight,0,60,0,No,Yes,No,,Daily or almost daily,,31,0
Excellent,About the right weight,230,0,5,No,No,No,,,,19,0
Very Good,About the right weight,300,0,0,No,No,No,,,,20,2
Very Good,Very underweight,360,0,0,Yes,Yes,No,Weekly,Never,,19,1
Excellent,Very overweight,150,100,3,No,Yes,Yes,,Weekly,Never,46,1
Good,About the right weight,60,0,1,Yes,Yes,Yes,Never,Monthly,Weekly,26,1
Very Good,About the right weight,150,0,3,No,Yes,Yes,,Daily or almost daily,Once or twice,48,0
Very Good,About the right weight,120,60,0,Yes,Yes,Yes,Daily or almost daily,Once or twice,Once or twice,26,0
Good,Very overweight,120,0,0,Yes,Yes,No,Never,Once or twice,,52,2
Excellent,Slightly overweight,30,260,3,No,No,No,,,,26,7
Fair,Slightly overweight,0,0,0,No,No,No,,,,30,0
Good,About the right weight,400,0,2,Yes,Yes,Yes,Never,Daily or almost daily,Never,24,0
Fair,Slightly overweight,0,0,0,Yes,Yes,Yes,Never,Never,Never,46,10
Good,Slightly overweight,120,0,3,No,No,No,,,,21,3
Good,About the right weight,120,0,0,No,No,No,,,,46,12
Excellent,About the right weight,120,0,5,Yes,Yes,Yes,Daily or almost daily,Once or twice,Daily or almost daily,23,3
Very Good,About the right weight,360,0,5,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,25,2
Good,About the right weight,180,0,6,Yes,Yes,Yes,Never,Daily or almost daily,Once or twice,25,0
,About the right weight,420,120,7,No,Yes,Yes,,Monthly,Never,35,1
Good,About the right weight,240,30,0,Yes,Yes,Yes,Once or twice,Weekly,Weekly,32,2
Good,Slightly overweight,0,0,0,No,Yes,No,,Monthly,,20,0
Good,About the right weight,360,0,0,No,Yes,No,,Never,,20,2
Very Good,About the right weight,300,120,2,Yes,Yes,No,Monthly,Monthly,,23,0
Good,About the right weight,150,45,4,No,Yes,No,,Weekly,,30,5
,Slightly overweight,45,0,0,Yes,Yes,Yes,Never,Daily or almost daily,Never,37,0
Good,About the right weight,30,0,4,No,No,No,,,,19,3
Good,Slightly overweight,10,0,0,Yes,Yes,Yes,Daily or almost daily,Weekly,Never,27,2
Fair,Slightly overweight,90,0,0,Yes,Yes,Yes,Never,Once or twice,Once or twice,24,8
Very Good,About the right weight,30,140,2,Yes,Yes,Yes,Never,Once or twice,Once or twice,22,0
Fair,About the right weight,60,20,1,No,Yes,Yes,,Once or twice,Once or twice,22,2
Very Good,Slightly overweight,4000,200,7,Yes,Yes,Yes,Never,Weekly,Never,26,1
Good,About the right weight,150,0,0,No,Yes,No,,Once or twice,,31,0
Fair,Slightly overweight,600,420,3,No,Yes,No,,Never,,27,2
Very Good,About the right weight,120,30,1,Yes,Yes,No,Daily or almost daily,Monthly,,35,0
Very Good,About the right weight,120,80,7,No,Yes,Yes,,Monthly,Monthly,24,0
Fair,Slightly overweight,45,0,5,No,No,No,,,,20,1
Very Good,Slightly overweight,120,45,1,Yes,Yes,No,Never,Monthly,,48,1
Good,Slightly overweight,120,0,0,Yes,Yes,Yes,Never,Monthly,Never,33,0
Excellent,Slightly overweight,420,120,6,No,Yes,No,,Never,,28,0
Very Good,About the right weight,3000,240,5,No,No,No,,,,21,0
Good,Slightly overweight,30,0,0,Yes,Yes,Yes,Once or twice,Monthly,Weekly,21,0
Good,About the right weight,120,60,0,No,Yes,No,,Once or twice,,58,6
,Slightly overweight,60,30,3,No,Yes,Yes,,Once or twice,Never,22,0
Good,About the right weight,60,60,0,Yes,Yes,Yes,Daily or almost daily,Never,Monthly,31,5
Very Good,About the right weight,1500,180,0,No,Yes,No,,Monthly,,25,0
Good,Slightly overweight,600,0,0,No,Yes,No,,Once or twice,,61,0
Excellent,Slightly overweight,270,250,6,No,Yes,No,,Monthly,,29,7
Very Good,Slightly underweight,120,120,3,Yes,Yes,Yes,Never,Weekly,Weekly,22,4
Fair,Slightly overweight,240,0,7,No,No,No,,,,24,4
Excellent,About the right weight,270,270,3,No,No,No,,,,20,2
Good,About the right weight,120,60,4,Yes,Yes,Yes,Daily or almost daily,Once or twice,Daily or almost daily,21,7
Very Good,About the right weight,20,20,7,No,No,No,,,,28,0
Very Good,About the right weight,400,90,4,No,Yes,Yes,,Once or twice,Once or twice,45,9
Excellent,About the right weight,120,15,2,No,Yes,No,,Monthly,,21,0
Good,Very overweight,120,0,0,Yes,Yes,Yes,Never,Once or twice,Never,26,0
Fair,Slightly underweight,120,0,0,No,Yes,No,,Never,,22,3
Very Good,Slightly overweight,60,30,2,Yes,Yes,Yes,Never,Once or twice,Never,21,4
Very Good,About the right weight,120,30,1,Yes,Yes,No,Never,Once or twice,,22,1
Very Good,Slightly overweight,105,90,1,No,Yes,Yes,,Once or twice,Once or twice,27,1
Excellent,About the right weight,420,420,6,No,Yes,No,,Monthly,,21,0
Very Good,Slightly overweight,210,90,1,Yes,Yes,Yes,Never,Weekly,Never,51,0
Very Good,Very overweight,720,250,2,No,Yes,Yes,,Monthly,Once or twice,25,1
Good,About the right weight,60,0,2,No,Yes,No,,Weekly,,,1
,Slightly overweight,180,0,5,No,No,No,,,,47,0
Excellent,Slightly overweight,240,30,0,No,No,No,,,,42,0
Very Good,About the right weight,360,0,0,No,Yes,Yes,,Once or twice,Once or twice,25,0
Very Good,Slightly overweight,450,420,3,No,No,No,,,,32,1
Good,About the right weight,60,0,3,No,No,No,,,,40,0
Good,Slightly overweight,30,0,0,No,Yes,Yes,,Once or twice,Weekly,24,1
Good,About the right weight,320,60,1,No,No,No,,,,25,0
Good,About the right weight,75,120,2,No,Yes,No,,Once or twice,,21,4
Excellent,Slightly underweight,180,0,1,No,Yes,No,,Once or twice,,25,2
Good,Slightly overweight,120,0,3,Yes,Yes,Yes,Never,Monthly,Never,52,1
Good,Slightly overweight,45,0,2,No,Yes,No,,Monthly,,28,5
Fair,About the right weight,200,0,0,No,No,No,,,,28,0
Very Good,About the right weight,180,150,0,No,Yes,No,,Once or twice,,24,3
Good,About the right weight,130,0,0,No,No,No,,,,19,6
Good,Very overweight,300,130,1,Yes,Yes,Yes,Never,Once or twice,Never,22,3
Very Good,Slightly overweight,60,120,5,No,No,No,,,,18,4
Very Good,Slightly overweight,420,60,4,No,Yes,No,,Once or twice,,26,1
Good,About the right weight,2300,480,4,Yes,Yes,No,Never,Once or twice,,21,0
Good,About the right weight,840,0,0,No,Yes,No,,Once or twice,,33,1
Good,Very overweight,210,210,7,No,Yes,No,,Monthly,,33,0
,About the right weight,460,200,2,No,Yes,No,,Once or twice,,24,0
Fair,About the right weight,70,60,5,No,Yes,Yes,,Once or twice,Never,18,4
Very Good,About the right weight,360,30,3,No,No,No,,,,18,3
Excellent,About the right weight,300,790,5,No,Yes,No,,Once or twice,,19,0
Good,Slightly overweight,0,0,0,No,No,No,,,,18,4
Good,Very overweight,40,10,1,No,Yes,No,,Once or twice,,21,2
Very Good,Slightly underweight,120,30,0,Yes,Yes,No,Never,Never,,19,12
Good,Slightly overweight,90,,2,No,No,No,,,,18,0
Good,About the right weight,500,180,3,Yes,Yes,Yes,Never,Once or twice,Never,43,0
Good,Slightly overweight,800,0,0,No,No,No,,,,26,16
Very Good,About the right weight,260,210,7,No,Yes,Yes,,Monthly,Once or twice,24,2
Very Good,Very overweight,60,0,0,Yes,Yes,Yes,Never,Monthly,Never,39,2
Fair,Slightly overweight,180,120,3,Yes,Yes,Yes,Once or twice,Once or twice,Daily or almost daily,19,0
Good,About the right weight,240,60,3,Yes,Yes,Yes,Once or twice,Once or twice,Never,25,0
Good,Slightly overweight,210,,0,No,Yes,Yes,,Never,Once or twice,18,0
Fair,Very overweight,120,90,3,Yes,Yes,Yes,Never,Never,Once or twice,40,6
Fair,About the right weight,240,60,1,No,No,No,,,,21,2
Fair,Slightly overweight,300,30,1,No,No,No,,,,,0
Excellent,About the right weight,60,60,2,No,Yes,No,,Monthly,,33,12
Very Good,Slightly underweight,180,360,6,No,No,No,,,,18,1
Excellent,Slightly overweight,30,30,1,No,No,No,,,,43,10
Good,Slightly overweight,30,350,0,No,Yes,Yes,,Weekly,Weekly,26,0
Good,Slightly overweight,90,0,0,Yes,Yes,Yes,Never,Weekly,Daily or almost daily,28,1
Good,About the right weight,60,20,0,No,Yes,Yes,,Monthly,Weekly,43,0
Very Good,About the right weight,60,120,3,No,No,No,,,,18,6
Good,About the right weight,35,0,5,No,Yes,Yes,,Once or twice,Weekly,25,0
Very Good,Slightly overweight,180,60,2,No,Yes,Yes,,Monthly,Weekly,21,0
Good,About the right weight,200,50,5,No,Yes,Yes,,Monthly,Never,21,10
Good,Slightly underweight,60,0,0,Yes,Yes,Yes,Once or twice,Never,Never,18,2
Good,Slightly underweight,300,0,5,No,No,Yes,,,Once or twice,22,16
Good,About the right weight,60,30,1,No,Yes,No,,Monthly,,22,1
Fair,Very overweight,70,10,2,No,No,No,,,,18,3
Excellent,About the right weight,198,90,2,No,Yes,No,,Never,,20,0
Good,About the right weight,210,100,7,No,No,No,,,,25,0
Fair,Slightly overweight,200,20,2,No,Yes,Yes,,Once or twice,Weekly,18,4
Good,Slightly overweight,4000,120,0,No,No,No,,,,18,2
Good,Slightly overweight,600,0,0,Yes,Yes,Yes,Daily or almost daily,Monthly,Once or twice,19,0
Good,About the right weight,2880,0,0,No,No,No,,,,19,0
Very Good,About the right weight,600,100,1,No,No,No,,,,18,4
Very Good,Slightly overweight,300,0,3,No,Yes,No,,Once or twice,,21,2
Very Good,Slightly overweight,360,360,6,No,No,No,,,,18,0
Very Good,Slightly overweight,50,0,5,Yes,Yes,Yes,Never,Never,Never,18,0
Fair,Very underweight,840,480,1,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,19,2
Very Good,Slightly overweight,420,300,5,Yes,Yes,Yes,Once or twice,Monthly,Once or twice,18,3
Very Good,About the right weight,60,45,0,No,Yes,Yes,,Monthly,Never,33,1
Very Good,About the right weight,150,120,4,No,Yes,Yes,,Weekly,Once or twice,41,3
Very Good,Slightly underweight,120,120,4,No,Yes,No,,Weekly,,34,2
Excellent,About the right weight,300,180,3,Yes,Yes,Yes,Never,Once or twice,Once or twice,22,1
Very Good,About the right weight,200,30,1,No,No,No,,,,20,5
Very Good,Slightly overweight,480,80,1,Yes,Yes,Yes,Never,Monthly,Once or twice,28,3
Good,About the right weight,120,220,4,Yes,Yes,Yes,Once or twice,Monthly,Monthly,18,4
Fair,Very overweight,90,30,3,No,Yes,No,,Once or twice,,30,1
Good,About the right weight,1260,90,0,Yes,Yes,Yes,Daily or almost daily,Once or twice,Never,19,0
Fair,About the right weight,120,60,1,Yes,Yes,Yes,Daily or almost daily,Weekly,Daily or almost daily,19,2
Fair,Slightly overweight,420,0,0,No,Yes,No,,Never,,22,0
Good,About the right weight,60,0,1,No,No,No,,,,18,1
Good,About the right weight,20,0,0,Yes,Yes,Yes,Never,Weekly,Never,26,0
,About the right weight,360,150,0,Yes,Yes,Yes,Once or twice,Once or twice,Once or twice,19,1
Very Good,About the right weight,120,30,0,No,No,No,,,,18,0
Good,About the right weight,200,50,3,Yes,Yes,Yes,Never,Never,Daily or almost daily,19,5
